"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","% Rostered","+/-","MIN","FG-","3PTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO","PF","TF","EJ","2DO","3D","+-"
"*031m2*","Giannis Antetokounmpo","MIL","SF,PF,F,Flx","1","HOU","27","@BOS<br/>Mon 7:30PM","27.50","3rd","15157","606.28","100%","-0.1%","32.1","8.5","1.1","3.3","27.3","2.1","9.6","5.9","1.1","1.6","3.3","3.1","0.00","0.00","0.6","0.0","8.7"
"*01eo6*","James Harden","BKN","SG,G,Flx","2","BKL","32","","26.00","4th","14479","556.88","100%","-0.4%","35.7","8.7","2.5","0.8","20.8","0.9","7.0","9.6","1.4","0.7","5.0","2.4","0.00","0.00","0.5","0.2","2.7"
"*001aw*","Kevin Durant","BKN","SF,F,Flx","5","OKC","33","","26.00","4th","14156","566.24","100%","-0.4%","36.1","9.5","1.8","0.9","29.4","0.5","7.1","5.6","0.7","0.8","3.2","1.8","0.12","0.04","0.3","0.0","5.0"
"*042n7*","Domantas Sabonis","IND","PF,F,Flx","3","MEM","25","GS<br/>Mon 7:00PM","13.50","1st","13976","499.14","100%","-0.3%","33.6","4.9","0.8","1.1","18.2","3.2","8.7","4.2","1.1","0.4","3.0","3.3","0.04","0.00","0.7","0.0","4.1"
"*03e75*","Nikola Jokic","DEN","C,Flx","4","NYK","26","WAS<br/>Mon 9:00PM","35.00","4th","13972","665.33","100%","-0.1%","32.4","7.5","1.7","1.3","26.5","2.4","11.1","7.2","1.2","0.8","3.4","2.6","0.19","0.05","0.6","0.2","9.0"
"*01enh*","Stephen Curry","GS","PG,G,Flx","6","HOU","33","@IND<br/>Mon 7:00PM","25.90","3rd","13523","540.92","100%","-0.3%","33.8","11.5","5.4","0.3","27.1","0.7","4.9","6.3","1.7","0.4","3.1","1.8","0.04","0.00","0.2","0.0","11.8"
"*042nq*","Dejounte Murray","SA","PG,SG,G,Flx","10","WAS","25","","4.90","1st","13412","515.85","100%","-0.3%","33.6","9.5","1.3","0.7","18.0","1.0","7.3","8.3","2.0","0.4","2.5","2.1","0.04","0.00","0.4","0.1","0.5"
"*02nf1*","Anthony Davis","LAL","PF,F,C,Flx","7","ORL","28","","26.90","2nd","13160","526.4","100%","-0.3%","35.3","8.7","0.4","1.7","24.0","3.0","7.2","3.0","1.3","2.2","2.0","2.3","0.12","0.04","0.5","0.0","-2.4"
"*04qrk*","Trae Young","ATL","PG,G,Flx","8","LAL","23","HOU<br/>Mon 7:30PM","27.50","3rd","13154","505.92","100%","-0.2%","33.8","11.1","2.7","0.7","26.5","0.9","3.2","9.5","1.0","0.1","4.1","1.7","0.23","0.00","0.5","0.0","2.6"
"*03xmv*","Jayson Tatum","BOS","SF,PF,F,Flx","9","DET","23","MIL<br/>Mon 7:30PM","20.60","2nd","13097","485.07","100%","-0.1%","35.7","12.7","2.7","1.1","25.6","1.1","7.6","3.6","0.9","0.8","2.8","2.5","0.15","0.00","0.4","0.0","2.4"
"*027oo*","Jonas Valanciunas","NO","C,Flx","11","PHI","29","","14.30","3rd","12770","440.34","100%","-0.3%","30.6","6.7","1.1","0.7","18.7","3.4","8.4","2.5","0.6","0.9","2.1","3.2","0.10","0.00","0.7","0.0","-3.4"
"*005kc*","Russell Westbrook","LAL","PG,G,Flx","12","CHA","33","","16.50","4th","12472","461.93","98%","-1.7%","35.5","9.0","1.3","1.7","19.5","1.3","6.4","8.6","1.2","0.2","4.6","3.1","0.19","0.04","0.3","0.2","-1.4"
